ID	Data + units	Time
6	-0.121600, -0.007600, 0.182400 X deg/s, Y deg/s, Z deg/s	At T: 1540594767.011155188s
6	-0.136800, 1.938000, 0.182400 X deg/s, Y deg/s, Z deg/s	At T: 1540594767.017250728s
6	-0.144400, 1.938000, 0.167200 X deg/s, Y deg/s, Z deg/s	At T: 1540594767.023346268s
6	-0.182400, 1.938000, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.007107607s
6	-0.273600, 1.938000, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.010225181s
6	-0.334400, 1.938000, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.013342755s
6	-0.349600, 1.938000, 0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.016460329s
6	-0.266000, 1.938000, 0.136800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.019577903s
6	-0.167200, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.022695477s
6	-0.114000, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.025813051s
6	-0.129200, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.028930625s
6	-0.174800, -0.007600, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.032048199s
6	-0.258400, -0.007600, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.035165773s
6	-0.349600, -0.007600, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.038283347s
6	-0.418000, -0.007600, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.041400921s
6	-0.372400, -0.007600, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.044518495s
6	-0.273600, -0.007600, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.047636069s
6	-0.190000, -0.007600, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.050753643s
6	-0.114000, -0.007600, 0.144400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.053871217s
6	-0.083600, -0.007600, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.056988791s
6	-0.068400, -0.007600, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.060106365s
6	-0.121600, -0.007600, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.063223939s
6	-0.212800, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594768.066341513s
