ID	Data + units	Time
7	-0.048750, 0.039000, 0.994500 X G, Y G, Z G	At T: 1540595020.323357530s
7	-0.050700, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595020.334255817s
7	-0.048750, 0.044850, 0.971100 X G, Y G, Z G	At T: 1540595020.345154104s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595020.356052391s
7	-0.039000, 0.046800, 0.992550 X G, Y G, Z G	At T: 1540595020.366950678s
7	-0.029250, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540595020.377848965s
7	-0.042900, 0.039000, 0.992550 X G, Y G, Z G	At T: 1540595020.388747252s
7	-0.050700, 0.044850, 0.994500 X G, Y G, Z G	At T: 1540595020.399645539s
7	-0.050700, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595020.410543826s
7	-0.037050, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595020.421442113s
7	-0.035100, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595020.432340400s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595020.443238687s
7	-0.052650, 0.044850, 0.984750 X G, Y G, Z G	At T: 1540595020.454136974s
7	-0.048750, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595020.465035261s
7	-0.037050, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595020.475933548s
7	-0.037050, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595020.486831835s
7	-0.035100, 0.040950, 0.984750 X G, Y G, Z G	At T: 1540595020.497730122s
7	-0.040950, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595020.508628409s
7	-0.052650, 0.039000, 0.992550 X G, Y G, Z G	At T: 1540595020.519526696s
7	-0.050700, 0.039000, 0.988650 X G, Y G, Z G	At T: 1540595020.530424983s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595021.514746928s
7	-0.039000, 0.040950, 0.961350 X G, Y G, Z G	At T: 1540595021.524582161s
7	-0.035100, 0.042900, 0.984750 X G, Y G, Z G	At T: 1540595021.534417394s
7	-0.035100, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595021.544252627s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595021.554087860s
7	-0.044850, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595021.563923093s
7	-0.054600, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540595021.573758326s
7	-0.050700, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595021.583593559s
7	-0.039000, 0.046800, 0.988650 X G, Y G, Z G	At T: 1540595021.593428792s
7	-0.037050, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595021.603264025s
7	-0.044850, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595021.613099258s
7	-0.048750, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595021.622934491s
7	-0.054600, 0.044850, 0.998400 X G, Y G, Z G	At T: 1540595021.632769724s
7	-0.046800, 0.044850, 0.996450 X G, Y G, Z G	At T: 1540595021.642604957s
7	-0.040950, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595021.652440190s
7	-0.037050, 0.046800, 0.982800 X G, Y G, Z G	At T: 1540595021.662275423s
7	-0.037050, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595021.672110656s
7	-0.042900, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595021.681945889s
7	-0.044850, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595021.691781122s
7	-0.050700, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595021.701616355s
7	-0.052650, 0.042900, 0.967200 X G, Y G, Z G	At T: 1540595021.711451588s
7	-0.048750, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595021.721286821s
7	-0.042900, 0.042900, 0.992550 X G, Y G, Z G	At T: 1540595021.731122054s
7	-0.040950, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595021.740957287s
